candidate_id,title,title_original,title_norm,authors,authors_original,authors_norm,year,year_original,venue,venue_original,doi,doi_original,doi_norm,abstract,document_type,source_ids,provenance,provenance_sources,provenance_queries,verification_status,metadata_verification_status,evidence_status,screening_status,legacy_seed_id,wos_ut,citation_count,citation_count_source,retrieved_at_utc,duplicate_status,dedup_status,dedup_parent_candidate_id,notes,seed_raw
C3A38B6F9A149,A Survey on Machine-Learning Techniques for UAV-Based Communications,A Survey on Machine-Learning Techniques for UAV-Based Communications,a survey on machine learning techniques for uav based communications,Petros S. Bithas; Emmanouel T. Michailidis; Νικόλαος Νομικός; Demosthenes Vouyioukas; Αthanasios G. Kanatas,Petros S. Bithas; Emmanouel T. Michailidis; Νικόλαος Νομικός; Demosthenes Vouyioukas; Αthanasios G. Kanatas,petros s. bithas; emmanouel t. michailidis; νικόλαος νομικός; demosthenes vouyioukas; αthanasios g. kanatas,2019,2019,Sensors,Sensors,10.3390/s19235170,https://doi.org/10.3390/s19235170,10.3390/s19235170,,article,openalex:https://openalex.org/W2990204812,openalex,openalex,Q6_network_imperfect,metadata_verified,metadata_verified,not_evidence,pending,,,357,openalex,2026-09-13T22:39:35.927287+00:00,unique,unique,,,
C367C3E76B3D0,A systems and control perspective of CPS security,A systems and control perspective of CPS security,a systems and control perspective of cps security,Seyed Mehran Dibaji; Mohammad Pirani; David Bezalel Flamholz; Anuradha M. Annaswamy; Karl Henrik Johansson; Aranya Chakrabortty,Seyed Mehran Dibaji; Mohammad Pirani; David Bezalel Flamholz; Anuradha M. Annaswamy; Karl Henrik Johansson; Aranya Chakrabortty,seyed mehran dibaji; mohammad pirani; david bezalel flamholz; anuradha m. annaswamy; karl henrik johansson; aranya chakrabortty,2019,2019,Annual Reviews in Control,Annual Reviews in Control,10.1016/j.arcontrol.2019.04.011,https://doi.org/10.1016/j.arcontrol.2019.04.011,10.1016/j.arcontrol.2019.04.011,,article,openalex:https://openalex.org/W2921750014,openalex,openalex,Q6_network_imperfect,metadata_verified,metadata_verified,not_evidence,pending,,,564,openalex,2026-09-13T22:39:35.927223+00:00,unique,unique,,,
C83A8475AB444,"Attractor dynamics approach to joint transportation by autonomous robots: theory, implementation and validation on the factory floor",Attractor dynamics approach to joint transportation by autonomous robots,attractor dynamics approach to joint transportation by autonomous robots theory implementation and validation on the factory floor,Toni Machado; Tiago Malheiro; Sérgio Monteiro; Wolfram Erlhagen; Estela Bicho,"Machado, T.; et al.","machado, t.; et al.",2019,2019,Autonomous Robots,Autonomous Robots,10.1007/s10514-018-9729-2,10.1007/s10514-018-9729-2,10.1007/s10514-018-9729-2,,journal-article,crossref:10.1007/s10514-018-9729-2,legacy_review;crossref,legacy_review;crossref,legacy_seed;legacy_seed_verify,unverified_seed,metadata_verified,not_evidence,pending,L009,,13,crossref,2026-09-13T22:39:35.479153+00:00,unique,unique,,,"{""authors"": ""Machado, T.; et al."", ""doi"": ""10.1007/s10514-018-9729-2"", ""legacy_seed_id"": ""L009"", ""notes"": """", ""provenance"": ""legacy_review_reconstructed"", ""title"": ""Attractor dynamics approach to joint transportation by autonomous robots"", ""venue"": ""Autonomous Robots"", ""verification_status"": ""unverified_seed"", ""year"": ""2019""}"
C467911FC59C7,Autonomous Multi-material Construction with a Heterogeneous Robot Team,Autonomous Multi-material Construction with a Heterogeneous Robot Team,autonomous multi material construction with a heterogeneous robot team,Maira Saboia; Vivek Thangavelu; Nils Napp,Maira Saboia; Vivek Thangavelu; Nils Napp,maira saboia; vivek thangavelu; nils napp,2019,2019,Springer Proceedings in Advanced Robotics Distributed Autonomous Robotic Systems,Springer Proceedings in Advanced Robotics Distributed Autonomous Robotic Systems,10.1007/978-3-030-05816-6_27,10.1007/978-3-030-05816-6_27,10.1007/978-3-030-05816-6_27,,book-chapter,crossref:10.1007/978-3-030-05816-6_27,crossref,crossref,Q5_heterogeneous_local,metadata_verified,metadata_verified,not_evidence,pending,,,3,crossref,2026-09-13T22:39:35.872704+00:00,unique,unique,,,
CAE5853470E5F,Coalition Formation for Multi-Robot Task Allocation via Correlation Clustering,Coalition Formation for Multi-Robot Task Allocation via Correlation Clustering,coalition formation for multi robot task allocation via correlation clustering,Ayan Dutta; Vladimir Ufimtsev; Asai Asaithambi; Emily Czarnecki,Ayan Dutta; Vladimir Ufimtsev; Asai Asaithambi; Emily Czarnecki,ayan dutta; vladimir ufimtsev; asai asaithambi; emily czarnecki,2019,2019,Cybernetics and Systems,Cybernetics and Systems,10.1080/01969722.2019.1677334,10.1080/01969722.2019.1677334,10.1080/01969722.2019.1677334,"The complexity of a vast number of real world tasks provides a great challenge for the currently available robots due to their limited capabilities. Thus, multiple robots would need to form coalitions for the completion of such tasks. In this paper, we examine the multi-robot coalition formation problem for task allocation where a group of robots needs to be allocated to a set of tasks. Our approach for this problem is to use a correlation clustering technique enabling similar robots to form coalitions. The algorithm presented in this paper is fast and scales better in comparison to two existing algorithms.",journal-article,crossref:10.1080/01969722.2019.1677334,crossref;wos,crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt,Q1_coalition_transport;F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000495146200005,14,wos,2026-09-13T22:39:35.773596+00:00,unique,unique,,,
C321A5B5AEA69,Comparison of multi-robot task allocation algorithms,Comparison of multi-robot task allocation algorithms,comparison of multi robot task allocation algorithms,Enríquez Gómez,Enríquez Gómez,enríquez gómez,2019,2019,Publication Server of Bonn-Rhein-Sieg University of Applied Sciences (Bonn-Rhein-Sieg University of Applied Sciences),Publication Server of Bonn-Rhein-Sieg University of Applied Sciences (Bonn-Rhein-Sieg University of Applied Sciences),10.18418/978-3-96043-075-9,https://doi.org/10.18418/978-3-96043-075-9,10.18418/978-3-96043-075-9,,report,openalex:https://openalex.org/W3010060985,openalex,openalex,Q5_heterogeneous_local,metadata_verified,metadata_verified,not_evidence,pending,,,1,openalex,2026-09-13T22:39:35.895816+00:00,unique,unique,,,
CC56ADBF6105B,Cooperative Heterogeneous Multi-Robot Systems: A Survey,,cooperative heterogeneous multi robot systems a survey,"Rizk, Yara; Awad, Mariette; Tunstel, Edward W.",,,2019,,ACM COMPUTING SURVEYS,,10.1145/3303848,,10.1145/3303848,"The emergence of the Internet of things and the widespread deployment of diverse computing systems have led to the formation of heterogeneous multi-agent systems (MAS) to complete a variety of tasks. Motivated to highlight the state of the art on existing MAS while identifying their limitations, remaining challenges, and possible future directions, we survey recent contributions to the field. We focus on robot agents and emphasize the challenges of MAS sub-fields including task decomposition, coalition formation, task allocation, perception, and multi-agent planning and control. While some components have seen more advancements than others, more research is required before effective autonomous MAS can be deployed in real smart city settings that are less restrictive than the assumed validation environments of MAS. Specifically, more autonomous end-to-end solutions need to be experimentally tested and developed while incorporating natural language ontology and dictionaries to automate complex task decomposition and leveraging big data advancements to improve perception algorithms for robotics.",Article,wos:WOS:000473754100007,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000473754100007,392,wos,2026-09-13T22:39:35.954014+00:00,unique,unique,,,
CB1F1CB75985D,Cooperative Manipulation of an Unknown Payload With Concurrent Mass and Drag Force Estimation,,cooperative manipulation of an unknown payload with concurrent mass and drag force estimation,"Thapa, Sandesh; Self, Ryan V.; Kamalapurkar, Rushikesh; Bai, He",,,2019,,IEEE CONTROL SYSTEMS LETTERS,,10.1109/lcsys.2019.2919841,,10.1109/lcsys.2019.2919841,"In this letter, we consider a team of robots that cooperatively transport a payload with an unknown mass in the presence of unknown drag forces. We develop a concurrent learning-based adaptive control algorithm that estimates the drag forces and the unknown mass and drives the agents and the payload to a common desired velocity. The algorithm also regulates the contact forces on the payload. We prove that the estimated parameters, including the mass of the payload, converge to their true values. We validate the effectiveness of the proposed algorithm using two simulation examples.",Article,wos:WOS:000658898200022,wos,wos:F05_primary_wos_plaintext_full_record_cited_references.txt,F05_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000658898200022,11,wos,2026-09-13T22:39:35.967352+00:00,unique,unique,,,
C201C8C16A7C2,Correlation clustering based coalition formation for multi-robot task allocation,Correlation clustering based coalition formation for multi-robot task allocation,correlation clustering based coalition formation for multi robot task allocation,Ayan Dutta; Vladimir Ufimtsev; Asai Asaithambi,Ayan Dutta; Vladimir Ufimtsev; Asai Asaithambi,ayan dutta; vladimir ufimtsev; asai asaithambi,2019,2019,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,10.1145/3297280.3297369,10.1145/3297280.3297369,10.1145/3297280.3297369,"Due to the inherent complexity of many real world tasks and the limited capabilities of currently available robots in the market, it is almost impossible for a single robot to finish a complex task. Therefore several robots may need to form coalitions to complete such tasks. In this paper, we study the multi-robot coalition formation problem for instantaneous task allocation (IA) where a group of robots needs to be allocated to a set of tasks so that the tasks can be finished optimally. This is a well-known NP-hard problem. To tackle this notoriously difficult problem, we use a correlation clustering technique that enables us to bring similar robots together to form coalitions. This clustering is achieved by using a Linear Programming-based graph partitioning approach along with a region growing strategy. The algorithm presented in this paper is fast and efficient in allocating (near) optimal robot coalitions to tasks.",proceedings-article,crossref:10.1145/3297280.3297369,crossref;wos,crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt,Q1_coalition_transport;F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000474685800123,11,wos,2026-09-13T22:39:35.772970+00:00,unique,unique,,,
C75B1DEBFD8C8,Correlation Clustering-based Multi-robot Task Allocation: A Tale of Two Graphs,,correlation clustering based multi robot task allocation a tale of two graphs,"Dutta, Ayan; Czarnecki, Emily; Ufimtsev, Vladimir; Asaithambi, Asai",,,2019,,APPLIED COMPUTING REVIEW,,,,,"Robots currently available in the market are somewhat limited in their capabilities, which makes it difficult for a single robot to handle many real-world tasks that are inherently complex. Thus, it becomes necessary to engage multiple robots which might form coalitions to complete such complex tasks. In this paper, we consider the well-known NP-hard problem of forming coalitions with the goal of instantaneous allocation (IA) of a group of robots to a set of tasks for optimal completion of the tasks. With the goal of bringing similar robots together to form coalitions, we use a correlation clustering technique, which uses a Linear Programming-based graph partitioning approach along with a region growing strategy. Our proposed approach is shown to gracefully handle both cost and utility-based objective functions for task allocation. We demonstrate that the resulting algorithm is fast and efficient in allocating (near) optimal robot coalitions to tasks. Furthermore, it outperforms two existing approaches in terms of execution times while yielding similar new-optimal solutions.",Article,wos:WOS:000512294400001,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000512294400001,0,wos,2026-09-13T22:39:35.953858+00:00,unique,unique,,,
CA96697F41316,Energy Conscious Over-actuated Multi-Agent Payload Transport Robot: Simulations and Preliminary Physical Validation,Energy Conscious Over-actuated Multi-Agent Payload Transport Robot: Simulations and Preliminary Physical Validation,energy conscious over actuated multi agent payload transport robot simulations and preliminary physical validation,Rahul Tallamraju; Pulkit Verma; Venkatesh Sripada; Shrey Agrawal; Kamalakar Karlapalem,Rahul Tallamraju; Pulkit Verma; Venkatesh Sripada; Shrey Agrawal; Kamalakar Karlapalem,rahul tallamraju; pulkit verma; venkatesh sripada; shrey agrawal; kamalakar karlapalem,2019,2019,2019 28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),2019 28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),10.1109/ro-man46459.2019.8956442,10.1109/ro-man46459.2019.8956442,10.1109/ro-man46459.2019.8956442,,proceedings-article,crossref:10.1109/ro-man46459.2019.8956442,crossref,crossref,Q4_recovery_replacement,metadata_verified,metadata_verified,not_evidence,pending,,,3,crossref,2026-09-13T22:39:35.852910+00:00,unique,unique,,,
CE32FC18DFAE3,Flexible co-manipulation and transportation with mobile multi-robot system,,flexible co manipulation and transportation with mobile multi robot system,"Hichri, Bassem; Adouane, Lounis; Fauroux, Jean-Christophe; Mezouar, Youcef; Doroftei, Ioan",,,2019,,ASSEMBLY AUTOMATION,,10.1108/aa-12-2017-190,,10.1108/aa-12-2017-190,Purpose The purpose of this paper is to address optimal positioning of a group of mobile robots for a successful manipulation and transportation of payloads of any shape. Design/methodology/approach The chosen methodology to achieve optimal positioning of the robots around the payload to lift it and to transport it while maintaining a geometric multi-robot formation is presented. This appropriate configuration of the set of robots is obtained by combining constraints ensuring stable and safe lifting and transport of the payload. A suitable control law is then used to track a virtual structure in which each elementary robot has to keep its desired position with respect to the payload. Findings An optimal positioning of mobile robots around a payload to ensure stable co-manipulation and transportation task according to stability multi-criteria constraints. Simulation and experimental results validate the proposed control architecture and strategy for a successful transportation task based on virtual structure navigation approach. Originality/value This paper presents a new strategy for co-manipulation and co-transportation task based on a virtual structure navigation approach. An algorithm for optimal positioning of mobile robots around a payload of any mass and shape is proposed while ensuring stability during the whole process by respecting multi-criteria task stability constraints.,Article,wos:WOS:000482432000005,wos,wos:F05_primary_wos_plaintext_full_record_cited_references.txt,F05_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000482432000005,13,wos,2026-09-13T22:39:35.967510+00:00,unique,unique,,,
CB2F6798CEDFA,Loosely Coupled Payload Transport System with Robot Replacement,Loosely Coupled Payload Transport System with Robot Replacement,loosely coupled payload transport system with robot replacement,"Verma, P.; et al.","Verma, P.; et al.","verma, p.; et al.",2019,2019,arXiv,arXiv,,,,,,,legacy_review,legacy_review,legacy_seed,unverified_seed,unresolved,not_evidence,pending,L011,,,,,unique,unique,,Legacy review identifies arXiv:1904.03049; DOI not supplied in legacy principal-reference list.,"{""authors"": ""Verma, P.; et al."", ""doi"": """", ""legacy_seed_id"": ""L011"", ""notes"": ""Legacy review identifies arXiv:1904.03049; DOI not supplied in legacy principal-reference list."", ""provenance"": ""legacy_review_reconstructed"", ""title"": ""Loosely Coupled Payload Transport System with Robot Replacement"", ""venue"": ""arXiv"", ""verification_status"": ""unverified_seed"", ""year"": ""2019""}"
CC37F5E57E782,Multi-robot system task allocation mechanism for smart factory,,multi robot system task allocation mechanism for smart factory,"Huang, Yin; Zhang, Yi; Xiao, Hong",,,2019,,PROCEEDINGS OF 2019 IEEE 8TH JOINT INTERNATIONAL INFORMATION TECHNOLOGY AND ARTIFICIAL INTELLIGENCE CONFERENCE (ITAIC 2019),,10.1109/itaic.2019.8785546,,10.1109/itaic.2019.8785546,"the smart factory has been developed many years, but the current situation of multi-robot task allocation mechanism only applicable to homogeneous robot systems, the problem of heterogeneous multi-robot cooperative task allocation is studied in this paper. A distributed auction algorithm is designed to classify different capabilities of robots with adopting atomic ability. The robot capability model and the task capability model are established, based on the distance between the robot and the target task and the matching degree between the robot capability and the task, a task allocation problem model is established to solve the problem of heterogeneous multi-robot collaborative task allocation. The simulation results show the correctness of the model and the effectiveness of the algorithm.",Proceedings Paper,wos:WOS:000502359500114,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000502359500114,18,wos,2026-09-13T22:39:35.958365+00:00,unique,unique,,,
CC967C6C19C43,Multi-robot Task Allocation Strategy based on Particle Swarm Optimization and Greedy Algorithm,,multi robot task allocation strategy based on particle swarm optimization and greedy algorithm,"Kong, Xiangjun; Gao, Yunpeng; Wang, Tianyi; Liu, Jihong; Xu, Wenting",,,2019,,PROCEEDINGS OF 2019 IEEE 8TH JOINT INTERNATIONAL INFORMATION TECHNOLOGY AND ARTIFICIAL INTELLIGENCE CONFERENCE (ITAIC 2019),,10.1109/itaic.2019.8785472,,10.1109/itaic.2019.8785472,"In order to improve the resource utilization efficiency of heterogeneous multi-robots, minimize the execution time of multi-type tasks, effectively maintain the load balancing of robot resources, solve the problem of multiple resources and difficult to find a near-optimal solution for multi-robot collaborative planning, a multi-robot task allocation strategy combining improved particle swarm optimization and greedy (IPSO-G) algorithm is proposed. The strategy is divided into two steps: First, the improved particle swarm optimization algorithm is used to search for the combination of tasks and robots; after that, the greedy algorithm is used to sort the task execution order in the task combination, and generate the overall cost of task execution plan. Through continuous iteration of the above process, the strategy finally finds the optimal solution. In the computer simulation environment, one TSP example is used to verify the feasibility and effectiveness of the proposed strategy.",Proceedings Paper,wos:WOS:000502359500325,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000502359500325,39,wos,2026-09-13T22:39:35.958698+00:00,unique,unique,,,
CBC5B0B8D8660,One-to-many bipartite matching based coalition formation for multi-robot task allocation,One-to-many bipartite matching based coalition formation for multi-robot task allocation,one to many bipartite matching based coalition formation for multi robot task allocation,Ayan Dutta; Asai Asaithambi,"Dutta, A.; Asaithambi, A.","dutta, a.; asaithambi, a.",2019,2019,2019 International Conference on Robotics and Automation (ICRA),ICRA,10.1109/icra.2019.8793855,10.1109/ICRA.2019.8793855,10.1109/icra.2019.8793855,"In this paper, we study the NP-Hard problem of multi-robot coalition formation for task allocation. To tackle this notoriously difficult problem, we model it as a variant of classical bipartite matching, which we call One-To-Many Bipartite Matching (OTMaM). Unlike the classical bipartite matching techniques used for matching a unique robot to a unique task, in the OTMaM problem, we let multiple robots to be matched to a single task while restricting the opposite. To this end, we propose a novel heuristic algorithm that allocates robots to tasks by finding mutually best robot-task pairs. Our algorithm provides a similar theoretical worst-case approximation ratio and guarantees a better worst-case time complexity than a comparable algorithm from the literature. The proposed approach in this paper is proved to be deterministic and the resultant matching is perfect. Simulation results also demonstrate the scalability of the presented algorithm (taking less than 1 millisecond with 100 robots and 10 tasks).",proceedings-article,crossref:10.1109/icra.2019.8793855,legacy_review;crossref;crossref;wos,legacy_review;crossref;crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt,legacy_seed;legacy_seed_verify;Q1_coalition_transport;F01_primary,unverified_seed,metadata_verified,not_evidence,pending,L010,WOS:000494942301103,22,wos,2026-09-13T22:39:35.489173+00:00,unique,unique,,,"{""authors"": ""Dutta, A.; Asaithambi, A."", ""doi"": ""10.1109/ICRA.2019.8793855"", ""legacy_seed_id"": ""L010"", ""notes"": """", ""provenance"": ""legacy_review_reconstructed"", ""title"": ""One-to-many bipartite matching based coalition formation for multi-robot task allocation"", ""venue"": ""ICRA"", ""verification_status"": ""unverified_seed"", ""year"": ""2019""}"
C9CAB98226CA9,OuijaBots: Omnidirectional Robots for Cooperative Object Transport with Rotation Control Using No Communication,,ouijabots omnidirectional robots for cooperative object transport with rotation control using no communication,"Wang, Zijian; Yang, Guang; Su, Xuanshuo; Schwager, Mac",,,2019,,DISTRIBUTED AUTONOMOUS ROBOTIC SYSTEMS,,10.1007/978-3-319-73008-0_9,,10.1007/978-3-319-73008-0_9,"We propose a distributed force and torque controller for a group of robots to collectively transport objects with both translation and rotation control. No explicit communication among robots is required. This work goes beyond previous works by including rotation control and experimental demonstrations on a custom built robot platform. We prove that follower robots can synchronize both their forces and torques to a leader (either a robot or human) that guides the group, and thus contribute positively to the transport. We introduce a custom-designed omnidirectional robot platform, called the OuijaBot, with sensing and actuation capabilities for cooperative manipulation. Our approach is verified by experiments with four OuijaBots successfully transporting and rotating a payload through a narrow corridor.",Proceedings Paper,wos:WOS:000552327000009,wos,wos:F05_primary_wos_plaintext_full_record_cited_references.txt,F05_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000552327000009,31,wos,2026-09-13T22:39:35.967552+00:00,unique,unique,,,
C198BA04A2E3E,Robot Motion Toolbox,Robot Motion Toolbox,robot motion toolbox,,,,2019,2019,Path Planning of Cooperative Mobile Robots Using Discrete Event Models,Path Planning of Cooperative Mobile Robots Using Discrete Event Models,10.1002/9781119486305.ch2,10.1002/9781119486305.ch2,10.1002/9781119486305.ch2,,other,crossref:10.1002/9781119486305.ch2,crossref,crossref,Q6_network_imperfect,metadata_verified,metadata_verified,not_evidence,pending,,,0,crossref,2026-09-13T22:39:35.906812+00:00,unique,unique,,,
C41CC9E78DED1,ROSM - Robotic Oil Spill Mitigation,,rosm robotic oil spill mitigation,"Dias, A.; Mucha, A. P.; Santos, T.; Pedrosa, D.; Amaral, G.; Ferreira, H.; Oliveira, A.; Martins, A.; Almeida, J.; Almeida, C. M.; Ramos, S.; Magalhaes, C.; Carvalho, M. F.; Silva, E.",,,2019,,OCEANS 2019 - MARSEILLE,,,,,"The overall aim of the ROSM project is the implementation of an innovative solution based on heterogeneous autonomous vehicles to tackle maritime pollution (in particular, oil spills). These solutions will be based on native microbial consortia with bioremediation capacity, and the adaptation of air and surface autonomous vehicles for in-situ release of autochthonous microorganisms (bioaugmentation) and nutrients (biostimulation). By doing so, these systems can be used as the first line of the responder to pollution incidents from several origins that may occur inside ports, around industrial and extraction facilities, or during transport activities, in a fast, efficient and low-cost way. The paper will address the development of a team of autonomous vehicles able to carry, as payload, native organisms to naturally degrade oil spills (avoiding the introduction of additional chemical or biological additives), the development of a multi-robot system able to provide a first line responses to oil spill incidents under unfavourable and harsh conditions with low human intervention, and then a decentralized cooperative planning with the ability to coordinate an efficient oil spill combat. Field tests have been performed in Leixoes Harbour in Porto and Medas, Portugal, with a simulated oil spill and validated the decentralized coordinated task between the autonomous surface vehicle (ASV) ROAZ and the unmanned aerial vehicle (UAV).",Proceedings Paper,wos:WOS:000591652100175,wos,wos:F05_primary_wos_plaintext_full_record_cited_references.txt,F05_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000591652100175,0,wos,2026-09-13T22:39:35.967768+00:00,unique,unique,,,
C0C34B3D7DD20,Towards a Distributed Solution to the Multi-Robot Task Allocation Problem with Energetic and Spatiotemporal Constraints,Towards a Distributed Solution to the Multi-Robot Task Allocation Problem with Energetic and Spatiotemporal Constraints,towards a distributed solution to the multi robot task allocation problem with energetic and spatiotemporal constraints,Farouq Zitouni; Saad Harous; Ramdane Maamri,Farouq Zitouni; Saad Harous; Ramdane Maamri,farouq zitouni; saad harous; ramdane maamri,2019,2019,Computer Science,Computer Science,10.7494/csci.2020.21.1.3427,https://doi.org/10.7494/csci.2020.21.1.3427,10.7494/csci.2020.21.1.3427,,article,openalex:https://openalex.org/W2995545179,openalex,openalex,Q5_heterogeneous_local,metadata_verified,metadata_verified,not_evidence,pending,,,6,openalex,2026-09-13T22:39:35.895638+00:00,unique,unique,,,
C9D327269DD93,Traffic Management Strategies for Multi-Robotic Rigid Payload Transport Systems: Extended Abstract,Traffic Management Strategies for Multi-Robotic Rigid Payload Transport Systems: Extended Abstract,traffic management strategies for multi robotic rigid payload transport systems extended abstract,Yahnit Sirineni; Pulkit Verma; Kamalakar Karlapalem,Yahnit Sirineni; Pulkit Verma; Kamalakar Karlapalem,yahnit sirineni; pulkit verma; kamalakar karlapalem,2019,2019,2019 International Symposium on Multi-Robot and Multi-Agent Systems (MRS),2019 International Symposium on Multi-Robot and Multi-Agent Systems (MRS),10.1109/mrs.2019.8901082,10.1109/mrs.2019.8901082,10.1109/mrs.2019.8901082,,proceedings-article,crossref:10.1109/mrs.2019.8901082,crossref,crossref,Q4_recovery_replacement,metadata_verified,metadata_verified,not_evidence,pending,,,0,crossref,2026-09-13T22:39:35.852829+00:00,unique,unique,,,
C45F5123CB722,A Classification of the Enabling Techniques for Low Latency and Reliable Communications in 5G and Beyond: AI-Enabled Edge Caching,A Classification of the Enabling Techniques for Low Latency and Reliable Communications in 5G and Beyond: AI-Enabled Edge Caching,a classification of the enabling techniques for low latency and reliable communications in 5g and beyond ai enabled edge caching,Lilian C. Mutalemwa; Seokjoo Shin,Lilian C. Mutalemwa; Seokjoo Shin,lilian c. mutalemwa; seokjoo shin,2020,2020,IEEE Access,IEEE Access,10.1109/access.2020.3037357,https://doi.org/10.1109/access.2020.3037357,10.1109/access.2020.3037357,,article,openalex:https://openalex.org/W3098632862,openalex,openalex,Q6_network_imperfect,metadata_verified,metadata_verified,not_evidence,pending,,,34,openalex,2026-09-13T22:39:35.927944+00:00,unique,unique,,,
C6900695BBF60,A distributed approach for autonomous cooperative transportation in a dynamic multi-robot environment,,a distributed approach for autonomous cooperative transportation in a dynamic multi robot environment,"Nath, Amar; Arun, A. R.; Niyogi, Rajdeep",,,2020,,PROCEEDINGS OF THE 35TH ANNUAL ACM SYMPOSIUM ON APPLIED COMPUTING (SAC'20),,10.1145/3341105.3373980,,10.1145/3341105.3373980,"This paper describes a distributed approach for autonomous cooperative transportation in a dynamic multi-robot environment. The proposed approach forms an optimal coalition at runtime for cooperative transportation and assigns a group of robots for the task. Explicit communication is used to acquire information as the robots do not have a global knowledge of the environment, i.e., no robot knows the location and state of another robot. For cooperative transportation, such information is essential as objects may arrive at any time and at any location. The proposed approach deals with on-demand missions, where the number of robots required to solve the problem is not known a priori. The applicability of the approach is demonstrated on a road clearance scenario in a realistic urban search and rescue simulation environment. The experimental results validate the correctness of the approach.",Proceedings Paper,wos:WOS:000569720900115,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000569720900115,9,wos,2026-09-13T22:39:35.953673+00:00,unique,unique,,,
C20FBE73D7292,A Distributed Approach to the Multi-Robot Task Allocation Problem Using the Consensus-Based Bundle Algorithm and Ant Colony System,A Distributed Approach to the Multi-Robot Task Allocation Problem Using the Consensus-Based Bundle Algorithm and Ant Colony System,a distributed approach to the multi robot task allocation problem using the consensus based bundle algorithm and ant colony system,Farouq Zitouni; Saad Harous; Ramdane Maamri,Farouq Zitouni; Saad Harous; Ramdane Maamri,farouq zitouni; saad harous; ramdane maamri,2020,2020,IEEE Access,IEEE Access,10.1109/access.2020.2971585,https://doi.org/10.1109/access.2020.2971585,10.1109/access.2020.2971585,,article,openalex:https://openalex.org/W3005448462,openalex,openalex,Q5_heterogeneous_local,metadata_verified,metadata_verified,not_evidence,pending,,,83,openalex,2026-09-13T22:39:35.895359+00:00,unique,unique,,,
C1776C8600952,An auction-based rescue task allocation approach for heterogeneous multi-robot system,,an auction based rescue task allocation approach for heterogeneous multi robot system,"Shi, Jieke; Yang, Zhou; Zhu, Junwu",,,2020,,MULTIMEDIA TOOLS AND APPLICATIONS,,10.1007/s11042-018-7080-4,,10.1007/s11042-018-7080-4,"Nowadays, robots are faced with real-time, dynamic, complex and confrontational working environment. It is significant to analyze task allocation in multi-robot systems. In this paper, a dynamic auction approach for differentiated tasks under cost rigidities (DAACR) is proposed, which can obtain optimal results in the task allocation of rescue robots. To verify the feasibility of the proposed approach, we investigate the optimality of the DAACR and compare it with other task allocation approaches based on the Hungarian algorithm. The results show that robots using this algorithm can adapt to a variety of complicated work environments, accomplish more tasks in limited time, reduce the delay of task allocation, and improve the overall utility of multi-robot systems.",Article,wos:WOS:000538675900012,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000538675900012,30,wos,2026-09-13T22:39:35.958582+00:00,unique,unique,,,
